Comment_ID,Comment_Name,Comment_Content,情感标签,讽刺标签1,讽刺标签2,Comment_Time,type,name
319765009,见月寒,第一轮，只能说导演不亏是导演，那个操作厉害了[笑哭],2,0,0,2024/8/12,娱乐,韩国最新综艺！77个网红大逃杀残酷模式淘汰，胜者独享21亿奖金，比韩剧精彩！
500931385,符号不行摊手手,这个型男魏老师居然没有男朋友，我不信，这不科学?,1,0,0,2024/8/14,时尚,【papi热烈欢迎】买手店主理人魏新来做客！
386641632,御坂御坂11451号,"。∧ 一一 ∧ 。
／人? ?? ?人＼ 与我签订契约 成为马猴烧酒吧！☆",1,0,0,2024/8/14,音乐,在楼道附带“不知名乐器”清唱Sis puella magica!神圣的女声吟唱！！
564190916,哈哈哈哈987158,有监控么？,1,0,0,2024/8/13,科技,【通通曝光】93个稀缺良心国家队App，你未必全知道！！！
1199179853,不肆仁,最近的段子怎么感觉有点太伤感了[笑哭]桌桌再来点恋爱片呗，我还不想哭[酸了],1,0,0,2024/8/15,国创,重生成了小婴儿，还多了个青梅竹马【萌娃冷天天P92
47787049,大熊出没z,这车开起来确实有点重,1,0,0,2024/8/15,汽车,仰望U9，赛道刹的住吗？
2070204723,古希腊掌管mk的入机,不是这给我干哪来了？这还是我认识的B站吗[吃瓜][吃瓜],1,0,0,2024/8/12,舞蹈,乐意效劳 随叫随到！
448655519,奔同学Ben,能不能去影视飓风这家公司，拜托，我关注他们好久了！,1,0,0,2024/8/13,知识,建了一栋楼给员工玩？2081人的游戏公司竟然是这样的
398846605,彰德府村夫,这种重复度百分之90，推荐?的视频点赞率能超过10%也是神了[汤圆],1,2,2,2024/8/13,科技,【通通曝光】58个稀缺良心国家队App，你未必全知道！！！
3.49E+15,账号已注965855,越战越勇,2,1,0,2024/8/14,国创,重生成了小婴儿，还多了个青梅竹马【萌娃冷天天P11
1490449031,雅娴不当女主不改名,来了抱走雅娴[打call][打call][打call],1,0,0,2024/8/14,国创,重生成了小婴儿，还多了个青梅竹马【萌娃冷天天P23
1234394749,楚绫风,@草原霸主灰灰 awsl,2,0,0,2024/8/11,舞蹈,乐意效劳 随叫随到！
3.55E+15,幸福平安777,还以为是不火，原来是来早了[doge],1,2,0,2024/8/13,鬼畜,十三香汉堡包
3.55E+15,你是懂寂寞得,一分钟前真热乎！！！,2,0,0,2024/8/14,国创,重生成了小婴儿，还多了个青梅竹马【萌娃冷天天P80
334855326,摄影师烧卖,正好卡在这里,1,0,0,2024/8/13,知识,建了一栋楼给员工玩？2036人的游戏公司竟然是这样的
73015710,原来是严彦吖,当了爸爸之后真的看不了这些[委屈][委屈][委屈],0,0,0,2024/8/13,生活,今天比昨天好，这就是希望。
