Comment_ID,Comment_Name,Comment_Content,Comment_Time,情感标签,讽刺标签1,讽刺标签2
473442077,括号删干净啊,绝世好活 近半年来看过最好的活,2024/7/22,0,2,2
1113019649,每天都要看兔女郎跳舞,[抱拳]米站是这样的，用户只需要发信息就好了，而米站要考虑的就多了。删谁的评论，不删谁的评论。[墨镜],2024/7/22,2,2,2
13228189,垣也_,抛开事实不谈，这剧情难道不好嘛？自律人一天闹麻了，我双手双脚支持策划多来点[喜欢],2024/7/22,2,2,2
429643455,30449007305_bili,原神这都是被带节奏的，故意抹黑的，这次剧情非常好，我也十分喜欢，刚好5.0马上来了，是入坑原神的好时间，可是现在新人入坑门槛高以往人权卡角色抽不到，怎么解决呢，唉，刚好我这有个成品号????,2024/7/23,2,2,2
703060718,额滴可汗,无条件支持米哈游公司的一切决议！谁能有意见？谁敢有意见！！！,2024/7/22,2,2,2
38285264,beandre,我牙刷，反观长离剧情，纯爽啊家人们,2024/7/22,2,2,2
35709955,夏伍君,懂不懂见证者摄像头的含义！他就像是av中醉酒熟睡的丈夫，电车上装聋作哑的路人，可以没用！但不能没有！（转发）,2024/7/22,2,2,2
491061790,摸鱼的郭嘉,最近节奏真多啊，只能希望原神策划不要被这些节奏带偏，安心做自己想做的，我觉得原神现在的设计完全没有问题。[星星眼][星星眼],2024/7/25,2,2,2
309965678,醉郎漫卷春秋梦,都是在带节奏，这剧情我觉得挺好，怎么就不好了，反对的人都是没好好看剧情。[给心心],2024/7/22,2,2,2
110139880,攀爱小小罗,我要给赔宝道歉，4.8活动让我对赔宝改观了，它对黄毛是真的好，不仅救下了忘了风之翼怎么用的黄毛，还让妮露给黄毛膝枕，最后还想把勇者的身份也让给黄毛，让ta不至于只能当个摄像头，以后我再也不黑赔宝了，它才是原鸨最极品的麻辣角色??,2024/7/23,2,2,2
493087380,麦片饼干,一群莫名其妙的人在这自绿，人家不是上来就抱过旅行者了吗，把他放到草地上也是因为害怕弄醒旅行者，还有人家阿帽有说要谁谁谁原谅嘛，他只是觉得他是罪人之身以后要用温柔对待这个世界，所以他才接受了魔龙，编剧也没让谁谁谁原谅杜林啊，阿帽最后愿意和杜林做朋友也只是和自己合解罢了，这版本剧情完全没有什么问题，想表达的思想也简单易懂，原神这都是被带节奏的，这次剧情非常好，我也十分喜欢，刚好5.0马上来了，是入坑原神的好时间，可是现在新人入坑门槛高以往人权卡角色抽不到，怎么解决呢，唉，刚好我这有个成品号????,2024/7/25,2,2,2
